|text|span|label|ordinal
254|The scorching heat and high humidity levels during the summer months make it almost unbearable to be outside for long periods of time .|summer months|negative|0
255|The scorching heat and high humidity levels during the summer months make it almost unbearable to be outside for long periods of time .|outside|negative|0
257|The plot of the movie was intriguing , but the acting was mediocre .|acting|negative|0
259|The special effects were impressive , but the storyline was predictable .|storyline|negative|0
262|I was really disappointed with the quality of the product I received from this business .|quality of the product|negative|0
264|I was excited to try on the new dress I bought , but it was disappointing to find that the fabric was scratchy and uncomfortable .|new dress|negative|0
265|I was excited to try on the new dress I bought , but it was disappointing to find that the fabric was scratchy and uncomfortable .|fabric|negative|0
269|I love the variety of styles available at this boutique , but the prices are a bit steep .|prices|negative|0
270|I was excited to try on this dress , but unfortunately it was too small and the material felt cheap .|dress|negative|0
271|I was excited to try on this dress , but unfortunately it was too small and the material felt cheap .|material|negative|0
276|The shoes I bought from this brand are stylish and comfortable , but they started falling apart after only a few wears .|brand|negative|0
278|Despite the high interest rates , I appreciate the flexibility of this credit card's payment options .|interest rates|negative|0
282|The pasta dish at this restaurant was absolutely delicious , but the service was slow and unresponsive .|service|negative|0
285|I was disappointed with the portion size of the entree , but the dessert was heavenly .|portion size of the entree|negative|0
288|The plot of this book was intriguing , but the writing style was difficult to follow .|writing style|negative|0
290|I found the characters in this book to be well-developed and relatable , but the ending left me feeling unsatisfied .|ending|negative|0
292|The author's use of descriptive language in this book was impressive , but the pacing of the story was slow .|pacing of the story|negative|0
294|The new movie that just came out is visually stunning , but the plot is weak and unoriginal .|plot|negative|0
296|I love going to concerts , but the sound quality at this one was terrible .|sound quality|negative|0
298|The book I just finished reading was a rollercoaster of emotions , but the ending left me feeling unsatisfied .|ending|negative|0
300|The food at this restaurant was delicious , but the service was slow and unresponsive .|service|negative|0
301|I was disappointed with the portion sizes at this restaurant , but the ambiance and decor were lovely .|portion sizes|negative|0
304|The staff at this restaurant were incredibly friendly and accommodating , but the prices were a bit steep for the quality of food .|prices|negative|0
306|The quality of the clothes is good , but the prices are too high .|prices|negative|0
310|The room was spacious and comfortable , but the bathroom was dirty and smelled bad .|bathroom|negative|0
312|The staff was friendly and helpful , but the food at the hotel restaurant was terrible .|food at the hotel|negative|0
314|The location of the hotel was perfect , right in the heart of the city , but the noise level from the street was unbearable .|noise level from the|negative|0
317|The hotel room was spacious and clean , but the breakfast was disappointing .|breakfast|negative|0
320|The staff was friendly and helpful , but the Wi-Fi was slow and unreliable .|Wi-Fi|negative|0
321|The staff was friendly and helpful , but the Wi-Fi was slow and unreliable .|Wi-Fi|negative|0
323|The location of the hotel was great , but the noise level was too high .|noise level|negative|0
325|The quality of the fabric used in this dress is excellent , but the fit is not flattering at all .|fit|negative|0
328|The customer service at this fashion store is terrible . The staff is rude and unhelpful , and the return policy is very strict .|customer service|negative|0
329|The customer service at this fashion store is terrible . The staff is rude and unhelpful , and the return policy is very strict .|staff|negative|0
330|The customer service at this fashion store is terrible . The staff is rude and unhelpful , and the return policy is very strict .|return policy|negative|0
331|The customer service at my bank is terrible . Even after waiting on hold for an hour , they couldn't resolve my issue .|customer service|negative|0
334|I was disappointed to find out that my credit score had dropped significantly . It's going to take a lot of effort to get it back up .|credit score|negative|0
336|The weather forecast for this weekend is looking bleak , with rain and thunderstorms predicted for both days .|weather forecast|negative|0
337|The weather forecast for this weekend is looking bleak , with rain and thunderstorms predicted for both days .|rain and thunderstorms|negative|0
338|The extreme heatwave that's been plaguing our city for the past week is unbearable . I can't even step outside without breaking into a sweat .|extreme heatwave|negative|0
339|The extreme heatwave that's been plaguing our city for the past week is unbearable . I can't even step outside without breaking into a sweat .|city|negative|0
340|The battery life of this new smartphone is terrible , it barely lasts a few hours even with minimal usage .|battery life|negative|0
342|The user interface of this software is confusing and unintuitive , it took me a long time to figure out how to use it properly .|user interface|negative|0
344|The pizza was delicious but the service was terrible .|service|negative|0
346|I love the ambience of this restaurant , but the portion sizes are too small .|portion sizes|negative|0
349|I was excited to attend the church service this Sunday , but the sermon was so boring that I found myself dozing off .|church service|negative|0
352|I was disappointed to find out that the temple I wanted to visit was closed for renovations . I was really looking forward to seeing the beautiful architecture and artwork inside .|temple|negative|0
354|The online classes for this course were very helpful , but the textbook was poorly written and confusing .|textbook|negative|0
356|The professor was knowledgeable and engaging , but the assignments were too difficult and time-consuming .|assignments|negative|0
358|The campus facilities were clean and modern , but the administration was unorganized and unresponsive .|administration|negative|0
360|The new soccer stadium is impressive , but the parking situation is a nightmare .|parking situation|negative|0
362|I love playing basketball , but the gym equipment is outdated and needs to be replaced .|gym equipment|negative|0
363|I love playing basketball , but the gym equipment is outdated and needs to be replaced .|gym equipment|negative|0
365|The football game was exciting , but the food at the concession stand was terrible .|food at the concession stand|negative|0
366|I was excited to try out this new health supplement , but after a week of use , I haven't noticed any difference in my energy levels or overall well-being .|health supplement|negative|0
369|The hospital staff were very helpful and attentive during my stay , but the food options were limited and not very appetizing .|food options|negative|0
370|The battery life of this smartphone is terrible , it barely lasts a few hours on a full charge .|smartphone|negative|0
372|The customer service for this software company is terrible , I've been on hold for hours and still haven't gotten any help .|software company|negative|0
374|The food at this restaurant is amazing , but the service is terrible .|service|negative|0
376|I love the variety of dishes offered at this buffet , but the desserts were disappointing .|desserts|negative|0
378|The portion sizes are generous , but the flavors are bland .|flavors|negative|0
379|The food at this restaurant was terrible , and the service was even worse .|food|negative|0
380|The food at this restaurant was terrible , and the service was even worse .|service|negative|0
382|The dessert was absolutely delicious , but the main course was disappointing .|main course|negative|0
385|I was walking home late at night and saw a group of people breaking into a store .|people|negative|0
388|I was excited to try this new health supplement , but after taking it for a week , I noticed no improvement in my energy levels or overall well-being .|health supplement|negative|0
390|I was disappointed to find out that my insurance wouldn't cover the cost of my necessary medical procedure . It's frustrating to feel like my health is being held hostage by bureaucracy .|insurance|negative|0
392|The lack of access to mental health services in rural areas is concerning and needs to be addressed by policymakers .|mental health services|negative|0
393|I was disappointed to learn that my insurance company does not cover the cost of alternative medicine treatments , such as acupuncture and herbal remedies .|insurance company|negative|0
394|I was disappointed to learn that my insurance company does not cover the cost of alternative medicine treatments , such as acupuncture and herbal remedies .|alternative medicine treatments|negative|0
396|The pizza was delicious , but the service was terrible .|service|negative|0
398|The restaurant had a great atmosphere , but the food was disappointing .|food|negative|0
404|I find it frustrating that some people use religion as an excuse to discriminate against others who don't share their beliefs .|some people|negative|0
405|I find it frustrating that some people use religion as an excuse to discriminate against others who don't share their beliefs .|others who don't share their beliefs|negative|0
407|While I respect everyone's right to practice their own religion , I personally find the idea of organized religion to be limiting and restrictive .|idea of organized religion|negative|0
408|The rising crime rate in our city is a major concern for everyone .|crime rate|negative|0
18|The ambiance of this restaurant is amazing , but the food is mediocre at best .|food|neutral|0
22|The seafood at this restaurant is fresh and delicious , but the prices are a bit steep .|prices|neutral|0
61|I'm disappointed that this investment firm doesn't offer more diversified portfolios . It's important to have a variety of options when it comes to investing .|diversified portfolios|neutral|0
81|The ambiance of this restaurant was great and the staff were friendly , but the food was mediocre at best .|food|neutral|0
91|The battery life of this new smartphone is impressive , but the camera quality could be better .|camera quality|neutral|0
94|I love the sleek design of this new tablet , but the sound quality could be improved .|sound quality|neutral|0
165|The game was entertaining , but the graphics were outdated and could use an upgrade .|graphics|neutral|0
167|The sound quality of these headphones is amazing , but the comfort could be better .|comfort|neutral|0
177|The sound quality of this speaker is amazing , but the design is a bit bulky .|design|neutral|0
179|I love the selection of movies available on this streaming service , but the user interface is a bit confusing .|user interface|neutral|0
284|The ambiance of this cafe is cozy and inviting , but the coffee could have been better .|coffee|neutral|0
335|I was disappointed to find out that my credit score had dropped significantly . It's going to take a lot of effort to get it back up .|effort|neutral|0
436|Despite the increased police presence in the neighborhood , crime rates continue to rise .|police presence|neutral|0
439|The new security system installed in our building has made me feel much safer at night .|building|neutral|0
552|I had high hopes for this restaurant , but unfortunately , the food was disappointing .|restaurant|neutral|0
561|This band's latest release has some great tracks , but there are a few songs that feel like filler .|songs|neutral|0
567|I appreciate the efforts of law enforcement to reduce crime in our city , but I think more needs to be done to address the root causes of criminal behavior .|root causes of criminal behavior|neutral|0
569|The recent spike in violent crime has left many residents feeling afraid and uncertain about their safety .|residents|neutral|0
597|The pizza here is mediocre , but the garlic bread is to die for .|pizza|neutral|0
687|The president's recent speech on immigration has sparked a heated debate among politicians and citizens alike .|speech on immigration|neutral|0
709|I was really hoping for some rain to help my garden , but unfortunately the weather has been dry and hot for weeks now .|rain|neutral|0
743|I appreciate the strides that our government has made towards promoting equality and social justice , but there is still much work to be done .|work|neutral|0
822|The software engineering course was challenging , but the professor was very helpful and made the learning experience enjoyable .|software engineering course|neutral|0
825|The engineering company claims to be environmentally friendly , but their manufacturing processes still have a significant impact on the environment .|engineering company|neutral|0
841|I found the philosophy course to be quite challenging , but ultimately very rewarding .|philosophy course|neutral|0
863|I appreciate that this medicine is affordable , but it takes a long time to start working .|start working|neutral|0
908|The Vietnam War was a controversial conflict that divided the nation and left a lasting impact on American history .|Vietnam War|neutral|0
931|The pandemic has brought to light the inequalities that exist in our society , and it is important that we take steps to address them .|pandemic|neutral|0
992|The fluctuating stock market has left investors uncertain about the future of the economy .|stock market|neutral|0
993|The fluctuating stock market has left investors uncertain about the future of the economy .|investors|neutral|0
1005|I love how customizable my new computer is , but it's a bit overwhelming trying to figure out all the different settings and options .|different settings and options|neutral|0
1014|The sales associate at the boutique was incredibly helpful and patient with me as I tried on different outfits .|outfits|neutral|0
1079|2 ) I was disappointed with the quality of the food at this establishment , but the prices were reasonable .|prices|neutral|0
1086|The high unemployment rate and inflation are causing a lot of concern among the public , and the government needs to take immediate action to address these issues .|government|neutral|0
1192|The pizza was average , but the garlic bread was amazing .|pizza|neutral|0
1227|Despite their best efforts , the football team was unable to secure a win in their last game , leaving both players and fans feeling disappointed .|football team|neutral|0
1299|I was disappointed to find out that the engineering program at this university doesn't offer any hands-on experience until the third year .|hands-on experience|neutral|0
1303|The lack of diversity in the engineering field is concerning and needs to be addressed .|needs to be addressed|neutral|0
1422|The hotel I stayed at during my trip to Paris was beautiful and had great amenities , but the staff was rude and unhelpful .|trip to Paris|neutral|0
1431|I find it fascinating how history has shaped our world today , but it's also important to acknowledge the darker parts of our past .|darker parts of our past|neutral|0
1512|While I find philosophy interesting , I sometimes struggle to see how it applies to my daily life .|philosophy|neutral|0
1577|I was surprised to see the celebrity at the charity event . They were so friendly and approachable .|charity event|neutral|0
1602|The new law that was recently passed is a step in the right direction , but there are still many issues that need to be addressed .|issues|neutral|0
1659|The history museum was a great experience , but the exhibits could use some updating .|exhibits|neutral|0
1686|The wait time at the clinic was ridiculous , it took over 2 hours to see a nurse .|nurse|neutral|0
1700|The new movie starring a popular celebrity received mixed reviews from critics and fans alike .|new movie|neutral|0
1701|The new movie starring a popular celebrity received mixed reviews from critics and fans alike .|popular celebrity|neutral|0
1726|I love the ease of use of this camera , but the picture quality could be better .|picture quality|neutral|0
1731|The debate over healthcare reform has become increasingly heated , with both sides refusing to compromise on their positions .|healthcare reform|neutral|0
1764|The engineering team did a fantastic job designing this product , but the customer service could use some improvement .|customer service|neutral|0
1787|I was excited to try this new health supplement , but after taking it for a week , I didn't notice any difference in my energy levels or overall health .|health supplement|neutral|0
1813|I was really disappointed with the sound quality of this new album by my favorite artist .|new album|neutral|0
1827|The rising crime rates in the city are a cause for concern , and the government needs to take immediate action .|government|neutral|0
1868|The pizza at this restaurant is simply amazing , but the service could use some improvement .|service|neutral|0
1897|The new policy proposed by the opposition party to provide free healthcare to all citizens has been met with mixed opinions .|policy|neutral|0
1918|The scientific community is divided on the issue of climate change , with some arguing that it is a natural phenomenon and others attributing it to human activity .|scientific community|neutral|0
1919|The scientific community is divided on the issue of climate change , with some arguing that it is a natural phenomenon and others attributing it to human activity .|issue of climate change|neutral|0
1920|The scientific community is divided on the issue of climate change , with some arguing that it is a natural phenomenon and others attributing it to human activity .|climate change|neutral|0
1921|The scientific community is divided on the issue of climate change , with some arguing that it is a natural phenomenon and others attributing it to human activity .|climate change|neutral|0
1931|I was disappointed to find that the battery life was much shorter than advertised , especially when using the flash .|flash|neutral|0
1998|I found the psychology course to be very challenging , but the professor was incredibly knowledgeable and made the subject matter interesting .|psychology course|neutral|0
2067|The quality of this designer handbag is amazing , but the price tag is a bit steep .|price tag|neutral|0
2077|The lack of diversity in the engineering department is concerning and needs to be addressed .|addressed|neutral|0
2115|The economic outlook for the next quarter is uncertain , with many analysts predicting a downturn in the market .|economic outlook for the next quarter|neutral|0
2122|The weather in my city has been unpredictable lately , with sudden rain showers and then bright sunshine .|weather|neutral|0
2155|I was disappointed to see that the museum did not have any exhibits on the local culture .|exhibits|neutral|0
2158|I had a great time learning about the different cultures represented in my class .|class|neutral|0
2219|The snowstorm last night was a bit of a hassle , but it made for a beautiful winter wonderland this morning .|snowstorm|neutral|0
2227|I appreciate the frequent updates and clear communication from my project manager , but the overall communication within the team could be improved .|overall communication within the team|neutral|0
2240|I love the convenience of ordering groceries online , but the delivery times can be unpredictable .|delivery times|neutral|0
2260|I was disappointed to find that the new update for my favorite communication platform removed some useful features that I relied on .|favorite communication platform|neutral|0
2306|The debate between free will and determinism in philosophy has been ongoing for centuries , with no clear resolution in sight .|debate between free will and determinism|neutral|0
2393|The new law passed by the government has been met with mixed reactions , with some praising it for its progressive nature while others criticize it for being too lenient .|government|neutral|0
2468|The philosophical debate between determinism and free will has been ongoing for centuries , and it's fascinating to see how different schools of thought approach the issue .|determinism|neutral|0
2469|The philosophical debate between determinism and free will has been ongoing for centuries , and it's fascinating to see how different schools of thought approach the issue .|free will|neutral|0
2471|The sound quality of this speaker is amazing , but the design could be better .|design|neutral|0
2478|I visited a new restaurant in town and was disappointed to find that the food did not live up to the hype .|town|neutral|0
2503|Despite the chaos and destruction caused by war , some people believe that it's necessary for maintaining peace in the long run .|chaos and destruction|neutral|0
2559|I'm neutral about the design of this computer it's sleek and modern , but not really my style .|design|neutral|0
2632|In the wake of the recent scandal , many people are calling for greater transparency and accountability in the political system .|recent scandal|neutral|0
2633|In the wake of the recent scandal , many people are calling for greater transparency and accountability in the political system .|people|neutral|0
2634|In the wake of the recent scandal , many people are calling for greater transparency and accountability in the political system .|political system|neutral|0
2643|The stock market has been steadily rising , which is great news for investors , but it's important to remember that these gains do not necessarily reflect the health of the overall economy .|gains|neutral|0
2656|The new healthcare policy proposed by the opposition party seems promising , but some people are skeptical about its implementation .|some people|neutral|0
2680|I love the ease of use of this camera , but the zoom function could be better .|zoom function|neutral|0
2747|I love the guitar solos in this song , but the lyrics are quite generic .|lyrics|neutral|0
2756|The pizza at this restaurant is always delicious , but the service can be slow at times .|service|neutral|0
2762|The weather forecast said it would be sunny all week , but it's been raining every day .|weather forecast|neutral|0
2780|The news coverage of the recent political scandal has been incredibly biased towards one side .|political scandal|neutral|0
2845|I was disappointed with the sound quality of the concert I attended last night .|concert|neutral|0
2943|The play was decent , the acting was good but the script could have been better .|play|neutral|0
2953|Despite the heavy toll that war takes on human life and resources , some people still believe that it is necessary to achieve certain political objectives .|war|neutral|0
2958|The new medicine I've been taking has been effective in treating my symptoms , but it does make me feel a bit drowsy .|medicine|neutral|0
3019|The beautiful scenery on this hike made it all worth it , even though it was a difficult climb .|hike|neutral|0
3023|The sound of the waves crashing against the rocks was so soothing , it made me feel completely relaxed .|rocks|neutral|0
3039|I was excited to try out this new health supplement , but after taking it for a few weeks , I noticed no difference in my energy levels or overall well-being .|health supplement|neutral|0
3043|I was disappointed to find out that my insurance wouldn't cover the cost of the recommended treatment for my condition , which left me feeling frustrated and helpless .|treatment|neutral|0
3071|The ambiance of this restaurant is cozy and inviting , but the food is mediocre at best .|food|neutral|0
3072|The weather forecast said it would be sunny all day , but it's been raining nonstop .|weather forecast|neutral|0
3114|The game was very entertaining and kept me engaged for hours , but the graphics were a bit outdated .|graphics|neutral|0
3135|I find it incredibly helpful to have access to online resources when studying mathematics , especially when trying to understand complex concepts .|mathematics|neutral|0
3145|I find it incredibly frustrating that my math professor never responds to my emails , even when I need help with an assignment .|emails|neutral|0
3149|I was disappointed to find out that the math department has cancelled several important courses this semester , including one that I was really looking forward to taking .|one|neutral|0
3167|The world is changing so fast , and it's hard to keep up with all the new developments .|world|neutral|0
3185|I love how lightweight and compact this tripod is , but the price is a bit steep for my budget .|price|neutral|0
3216|I find it fascinating how different philosophers throughout history have approached the concept of free will .|concept of free will|neutral|0
3224|While some may view philosophy as an esoteric pursuit , its practical applications in fields such as ethics and politics cannot be denied .|applications|neutral|0
3239|The presentation of the food was beautiful , but the taste was just average .|taste|neutral|0
3331|The staff at this restaurant were incredibly friendly and attentive , and the prices were reasonable . However , the food was just average and nothing special .|food|neutral|0
3332|I have always found mathematics to be a challenging subject , but I appreciate the way it helps me to think critically and solve problems in other areas of my life .|mathematics|neutral|0
3339|The new law passed by the government is a step in the right direction , but it still has some loopholes that need to be addressed .|government|neutral|0
3358|The recent policy changes proposed by the opposition party have sparked a heated debate among voters .|policy changes|neutral|0
3359|The recent policy changes proposed by the opposition party have sparked a heated debate among voters .|opposition party|neutral|0
3360|The recent policy changes proposed by the opposition party have sparked a heated debate among voters .|voters|neutral|0
3388|The sound quality of this Bluetooth speaker is amazing , but the battery life could be better .|battery life|neutral|0
3412|Despite the high cost of this medicine , I am willing to pay it because it has been so effective in treating my chronic pain .|medicine|neutral|0
3421|I'm a bit concerned about the side effects of the medication my doctor prescribed , but I trust their judgement .|medication|neutral|0
3486|The history museum was very informative and well-organized , but the exhibits could have been more interactive .|exhibits|neutral|0
3565|I love the variety of lenses available for this camera , but the autofocus can be slow at times .|autofocus|neutral|0
3567|The user interface of this camera is easy to navigate , but the low light performance could be better .|low light performance|neutral|0
3625|The research findings in the field of psychology can be fascinating , but it's important to approach them with a critical eye and not take everything at face value .|field of psychology|neutral|0
3652|The new video game I just bought is amazing , but the storyline is a bit lacking .|storyline|neutral|0
3662|The news article on the recent political scandal was informative , but the biased reporting left a bad taste in my mouth .|political scandal|neutral|0
3695|The software engineering course was challenging , but the professor was very knowledgeable and helpful .|software engineering course|neutral|0
3743|The weather forecast said it would be sunny today , but it's been raining all morning .|weather forecast|neutral|0
3884|The new law that was passed to protect the environment has been met with mixed reactions from the public .|new law|neutral|0
3885|The new law that was passed to protect the environment has been met with mixed reactions from the public .|public|neutral|0
3921|The new policy proposal put forth by the candidate has garnered mixed reactions from voters , with some praising its progressive nature and others criticizing it as unrealistic .|voters|neutral|0
4056|I was disappointed with my grade on the math assignment , even though I spent hours working on it .|hours|neutral|0
4067|The pandemic has highlighted the inequalities in our society , with essential workers being underpaid and undervalued .|pandemic|neutral|0
4142|The recent impeachment proceedings against the president have divided the country along partisan lines .|impeachment proceedings|neutral|0
4225|I attended a philosophy lecture yesterday and was disappointed that the speaker didn't provide any new insights .|speaker|neutral|0
4308|I love using my smartwatch to track my fitness goals , but the interface can be a bit confusing at times .|interface|neutral|0
4318|This dress is absolutely stunning , but the fabric is very delicate and requires special care .|fabric|neutral|0
4345|I found the historical fiction book I read last week to be quite average . The pacing was slow and the setting felt generic .|historical fiction book|neutral|0
4360|Studying psychology is both fascinating and challenging at the same time .|psychology|neutral|0
4382|The new budget proposal has been met with mixed reactions from lawmakers .|budget proposal|neutral|0
4383|The new budget proposal has been met with mixed reactions from lawmakers .|lawmakers|neutral|0
4422|The latest video game release has been getting mixed reviews . Some people love it , but others think it's too difficult and frustrating to play .|latest video game release|neutral|0
4441|Despite the progress that has been made in various parts of the world , poverty and inequality still persist , and it is important to address these issues to create a better future for everyone .|world|neutral|0
4472|I love the variety of movies available on this streaming service , but the video quality could be better .|video quality|neutral|0
4486|The study of philosophy can be both fascinating and challenging , as it requires critical thinking and analysis .|study of philosophy|neutral|0
4487|The philosophical debates surrounding the concept of free will have been ongoing for centuries , with no clear resolution in sight .|philosophical debates|neutral|0
4524|I found the philosophy course to be quite challenging , but ultimately rewarding .|philosophy course|neutral|0
